bidder_id,company_type,udyam_valid,udyam_expired,gst_registered,gst_status_active,gst_returns_filed_pct,pan_valid,itr_filed_last_year,income_tax_defaulter,epfo_applicable,epfo_compliant,esic_applicable,esic_compliant,make_in_india_local_content_pct,make_in_india_required_threshold,startup_india_claimed,startup_india_verified,nsic_claimed,nsic_verified,oem_authorization_required,oem_authorization_provided,blacklisted_flag,debarment_active,documents_missing_count,name_mismatch_across_docs,document_authenticity_score,turnover_consistency_ratio,years_since_registration,past_disputes_count,compliance_score,risk_level
BID00001,MSME,1,0,1,1,87.7,1,1,0,0,1,1,1,44.1,50,0,0,1,1,0,1,0,0,0,0,89.7,0.87,20,0,94.9,Low
BID00002,OEM,1,0,1,1,100.0,1,1,0,1,0,1,1,17.6,30,0,0,0,0,0,1,0,0,1,1,91.2,0.64,3,0,75.5,Medium
BID00003,Large Enterprise,1,0,1,1,93.8,1,1,0,1,1,1,1,55.2,50,0,0,0,0,0,1,0,0,1,0,72.4,1.28,12,0,90.9,Low
BID00004,Large Enterprise,1,0,1,1,78.8,1,1,0,0,1,0,1,54.8,30,0,0,0,0,0,1,0,0,0,0,100.0,0.84,4,0,95.1,Low
BID00005,MSME,1,0,1,1,88.9,1,1,0,1,1,0,1,27.0,50,0,0,0,0,0,1,1,0,4,1,84.5,1.64,11,0,46.7,High
BID00006,MSME,1,0,1,1,81.4,1,1,0,0,1,0,1,18.7,20,0,0,0,0,1,1,0,0,1,0,73.1,1.22,16,0,87.0,Medium
BID00007,MSME,1,0,1,0,85.1,1,1,0,0,1,0,1,52.8,30,0,0,0,0,0,1,0,0,0,0,85.0,0.48,9,0,81.6,Medium
BID00008,NSIC Registered,1,0,1,1,80.1,1,1,1,1,1,1,1,49.2,20,0,0,0,0,0,1,0,0,0,0,73.3,1.31,11,0,83.4,Medium
BID00009,Large Enterprise,1,1,1,1,82.5,1,1,0,1,0,0,1,44.6,50,0,0,0,0,1,1,0,0,1,0,78.0,0.82,5,0,86.9,Medium
BID00010,Large Enterprise,0,1,0,0,88.2,1,1,0,0,1,1,0,52.9,30,0,0,0,0,0,1,0,0,1,0,77.8,0.77,19,1,65.2,High
BID00011,MSME,1,0,1,1,70.1,1,1,0,0,1,0,1,27.4,50,0,0,0,0,0,1,0,1,0,0,83.4,0.93,19,0,60.3,High
BID00012,OEM,1,0,1,1,69.8,1,1,0,1,0,1,1,44.1,30,1,0,0,0,1,1,0,0,1,1,100.0,1.28,11,0,72.1,Medium
BID00013,NSIC Registered,1,0,1,1,64.2,1,1,0,1,0,1,1,68.3,50,0,0,0,0,0,1,0,0,2,0,86.3,1.13,12,1,80.9,Medium
BID00014,MSME,1,0,1,1,61.0,1,1,0,0,1,1,1,46.3,20,0,0,0,0,1,1,0,0,2,0,87.0,1.05,20,0,89.5,Low
BID00015,MSME,1,0,1,1,66.7,1,1,0,1,1,1,1,13.2,20,0,0,1,1,0,1,0,0,2,0,79.3,0.79,16,0,82.0,Medium
BID00016,MSME,1,1,1,1,87.4,1,0,0,1,1,1,1,43.2,50,0,0,0,0,0,1,0,0,0,0,88.4,1.24,19,0,87.3,Low
BID00017,MSME,1,0,1,1,71.6,1,1,0,1,1,1,1,28.2,20,0,0,0,0,1,1,0,1,1,0,84.6,0.75,9,0,63.8,High
BID00018,Startup,1,0,1,1,92.7,1,1,0,0,1,0,1,61.7,20,0,0,0,0,1,1,0,0,1,0,84.0,1.26,18,1,88.8,Low
BID00019,Startup,1,0,1,1,85.5,1,1,0,0,1,0,1,63.0,50,0,0,0,0,0,1,0,0,1,1,93.5,1.08,4,0,85.7,Medium
BID00020,MSME,1,0,1,1,55.5,1,1,0,0,1,1,1,13.5,30,1,1,0,0,0,1,0,0,0,0,73.7,0.85,4,0,87.8,Low
BID00021,Large Enterprise,0,1,1,1,94.8,1,1,1,0,1,1,0,74.0,50,0,0,1,1,0,1,0,0,1,0,100.0,1.53,7,0,69.6,High
BID00022,MSME,1,0,1,1,97.2,1,1,0,0,1,0,1,27.2,30,0,0,0,0,0,1,0,0,4,0,52.7,1.23,16,2,69.2,High
BID00023,MSME,1,0,1,1,70.1,1,1,0,1,1,1,1,94.0,20,0,0,0,0,0,1,0,0,0,1,83.9,1.14,2,0,84.5,Medium
BID00024,MSME,0,1,1,1,91.3,0,1,0,0,1,0,1,53.8,20,0,0,0,0,1,0,0,0,2,0,100.0,1.03,20,1,68.0,High
BID00025,Startup,1,0,1,1,72.2,1,1,0,1,1,1,1,23.8,20,0,0,0,0,0,1,0,0,0,0,99.5,0.71,15,0,92.3,Low
BID00026,Large Enterprise,1,1,1,1,86.5,1,1,0,0,1,0,1,26.5,20,1,1,0,0,0,1,0,0,1,0,86.9,1.01,18,1,90.7,Low
BID00027,MSME,1,0,1,1,66.0,1,1,0,1,1,0,1,63.7,20,0,0,0,0,0,1,0,0,0,0,75.3,1.4,5,0,86.9,Medium
BID00028,Startup,1,1,1,0,58.1,1,1,0,1,1,0,1,45.2,30,1,0,0,0,1,1,0,0,1,0,83.4,0.66,9,0,72.1,Medium
BID00029,Large Enterprise,0,1,1,1,79.3,1,1,0,0,1,0,1,52.6,30,0,0,0,0,1,1,0,0,0,0,100.0,1.14,15,1,86.5,Medium
BID00030,MSME,1,0,1,1,83.1,1,1,0,0,1,1,0,95.3,30,1,1,0,0,0,1,0,0,2,0,93.5,1.35,12,0,85.2,Medium
BID00031,Large Enterprise,0,1,1,1,79.0,1,1,0,1,1,1,1,37.5,50,0,0,0,0,1,1,0,0,1,0,64.6,1.36,2,1,71.7,Medium
BID00032,MSME,1,0,1,1,67.2,1,1,0,0,1,0,1,56.5,20,0,0,0,0,0,1,0,1,1,0,86.0,0.77,21,0,63.9,High
BID00033,MSME,1,1,1,1,79.0,1,1,0,1,1,0,1,90.5,20,0,0,0,0,0,1,0,0,0,0,77.8,0.86,7,0,87.6,Low
BID00034,OEM,1,0,1,1,89.0,1,1,0,1,1,1,1,61.8,20,0,0,0,0,1,1,0,0,3,0,69.8,1.03,19,0,88.9,Low
BID00035,OEM,1,1,1,0,84.3,1,0,0,0,1,0,1,14.8,50,1,0,0,0,0,1,0,0,1,0,90.8,1.11,7,0,70.8,Medium
BID00036,NSIC Registered,1,0,1,0,87.7,1,1,0,1,1,1,1,67.6,50,0,0,0,0,0,1,0,0,3,0,73.4,1.32,6,0,79.9,Medium
BID00037,MSME,0,1,1,1,74.9,1,1,0,0,1,1,1,25.9,50,1,1,0,0,1,1,0,0,2,0,100.0,0.95,10,1,76.5,Medium
BID00038,MSME,1,0,1,1,100.0,1,1,0,1,1,0,1,90.2,20,0,0,0,0,0,1,0,0,3,0,100.0,1.24,19,0,89.5,Low
BID00039,Large Enterprise,0,1,1,0,67.4,1,1,0,0,1,1,1,34.4,30,0,0,0,0,1,0,0,0,0,0,76.2,0.36,2,0,66.9,High
